Time,Node,IfIndex,qIndex,PfcType,Time
+1013917657.0ns,s7,0,0,P,0
+1013917679.0ns,s43,0,0,R,0
+1013917679.0ns,s7,0,0,R,0
+1013917776.0ns,s7,0,0,P,0
+1013920680.0ns,s41,0,0,R,0
+1013921477.0ns,s43,0,0,P,0
+1013921487.0ns,s43,0,0,R,0
+1013921487.0ns,s7,0,0,R,0
+1013921506.0ns,s43,0,0,P,0
+1013921522.0ns,s43,0,0,R,0
+1013921535.0ns,s43,0,0,P,0
+1013924440.0ns,s7,0,0,P,0
+1013924536.0ns,s41,0,0,P,0
+1013925687.0ns,s43,0,0,R,0
+1013928151.0ns,s7,0,0,R,0
+1013928688.0ns,s41,0,0,R,0
+1013929543.0ns,s43,0,0,P,0
+1013932544.0ns,s41,0,0,P,0
+1013933365.0ns,s7,0,0,P,0
+1013933387.0ns,s7,0,0,R,0
+1013933484.0ns,s7,0,0,P,0
+1013933625.0ns,s7,0,0,R,0
+1013933666.0ns,s43,0,0,R,0
+1013933722.0ns,s7,0,0,P,0
+1013936667.0ns,s41,0,0,R,0
+1013937195.0ns,s7,0,0,R,0
+1013937551.0ns,s43,0,0,P,0
+1013937552.0ns,s43,0,0,R,0
+1013937580.0ns,s43,0,0,P,0
+1013940581.0ns,s41,0,0,P,0
+1013941717.0ns,s43,0,0,R,0
+1013942409.0ns,s7,0,0,P,0
+1013942431.0ns,s7,0,0,R,0
+1013942528.0ns,s7,0,0,P,0
+1013944718.0ns,s41,0,0,R,0
+1013945602.0ns,s43,0,0,P,0
+1013945650.0ns,s43,0,0,R,0
+1013945660.0ns,s43,0,0,P,0
+1013948632.0ns,s41,0,0,P,0
+1013948857.0ns,s7,0,0,R,0
+1013949809.0ns,s43,0,0,R,0
+1013952810.0ns,s41,0,0,R,0
+1013953723.0ns,s43,0,0,P,0
+1013953736.0ns,s43,0,0,R,0
+1013953752.0ns,s43,0,0,P,0
+1013953771.0ns,s43,0,0,R,0
+1013953781.0ns,s43,0,0,P,0
+1013955499.0ns,s7,0,0,P,0
+1013955521.0ns,s7,0,0,R,0
+1013955618.0ns,s7,0,0,P,0
+1013956782.0ns,s41,0,0,P,0
+1013957936.0ns,s43,0,0,R,0
